text,emotion
never thought I would say come on 40s Lol,amusement
I call it Success Da ist mir die andere Ausgabe auch schon egal Hauptsache der Inhalt stimmt ,approval
Enjoy it has its own beauty ,joy
Were on it weather Get the Weather Gods Ap,neutral
degrees and blowing snow TedLott preps to pedal home BikeG,neutral
Not quite blustery But steady stiff wind blowing 26 degrees BikeG,neutral
 IENeart,love
I am so IMPRESSED Stay warm amp SAFE Thank you Everyone who is Helping our Water Land and Future Protectors NoDAPL ,gratitude
 babar2,neutral
 WaterisLife NoDAPL KilltheSnake standingrock,neutral
 UBCIC Treaty Alliance PODCAST Deconstructing the Non profit Industrial Complex Introduction Episode,neutral
you got that right Thanks Sir Mullings,gratitude
Texas weather for you ,neutral
 NCMom8 those pitiful weather ppl How can they almost always get it so wrong ,curiosity
And flooded streets potentially higher river flows ,neutral
 CFAHenderson I had 12 nuggets friday cfa generous when packed saved a few for yesterday jcr,neutral
yikes You should have come here for a mini Vaca Our roads are clear ,neutral
snow day 3 for us The roads have cleared enough for us to get out and about ,neutral
was that 95 or 96 with the last big flood Sandbag party ,neutral
 SkyNewsNaz SkyNews Ahh snugg X,neutral
the snow here has already melted its slush now minimal disruption My DD hoped for lots more snow ,neutral
 adolwyn me too Finally We were so spoiled last winter ,approval
 TrevCampbell LUCKY I HATE FLORIDA NEVER SNOWS HERE,anger
Itll sure be interesting to watch the Chiefs Sunday play in ice and then freezing cold rain Yikes Bring on the 50s Mon ,neutral
I give them mom permission to postpone the game ,anger
 james danson bet the ducks are delighted,neutral
I was wrong Only temporary And bc Im sure you were dying to know what it looks like today ,curiosity
Ha No Its gonna freeze again Well have snow till about March April lol,amusement
You know were moving to a cozy cabin in a couple of years right well isnt this one ideal Wowzaaaa Canada got,neutral
You gonna go to Canadia where trailerparkdogs are ,neutral
oh bloody hell I will be biking and racing by then spring sun out lol,amusement
 trailerparkdogs Did you look at their feed makes me want to pledge my allegiance to the maple leaf ,curiosity
 grrlysquirrel75 trailerparkdogs Come to Canada we r extra friendly here in Manitoba the Whiteshell is beautiful its near me,admiration
 mattiedog grrlysquirrel75 trailerparkdogs hey its practically spring here its 34F in January thats warm for us ,joy
for snow yes we have lots of it good for cross country skiing and snowmobiling,admiration
 phoebesmoon HereComsTrouble pattiwo babylisa51 yellowlablover Happy Thursday ,joy
 phoebesmoon HereComsTrouble pattiwo babylisa51 yellowlablover Happy Thursday onto Friday now,joy
 NNNN996 cnnbrk I was just correcting your statement,neutral
 NNNN996 cnnbrk All that matters is that EndOfAnError is today inauguration2017,neutral
 HereComsTrouble saritameow pattiwo babylisa51 yellowlablover Hi Hon yes its all melted off now have fun at the beach,amusement
 HereComsTrouble saritameow pattiwo babylisa51 yellowlablover should be pretty good weather there right now I think warmer,admiration
 HereComsTrouble saritameow pattiwo babylisa51 yellowlablover than we have been Looking forward to spring,neutral
 AndreaGer HereComsTrouble pattiwo babylisa51 yellowlablover Have a happy day hon ,joy
 HereComsTrouble saritameow pattiwo babylisa51 yellowlablover Back home already It was in the low 50s there but rain amp wind,neutral
OMG Science based policy ,admiration
yes daddy if you could just take me to the science march mmmm,neutral
thaw happened I cant type,amusement
thanks I hope its large enough to see me through,optimism
 I knock everybody Its kinda my thing ,approval
 DrRenukaBadhe On ice with a twist,neutral
Thats a great one too Thanks Katy ,admiration
Amen,neutral
 Maybe next week snow tonight,neutral
next year I have to go ,neutral
 WNEP Ah yes mud season ,neutral
 figurewalk were proud of this one April 28,admiration
Tony I would like your voice in our next iteration of journalism What say you scenarios a3r,curiosity
Proceed,admiration
 gwenckatz HeterofleXL But not enough 2compensate 4 the losses in the Artic seas are warming sea li,neutral
Weve graduated to the warm baby pool,neutral
Still three of my favourite sitcom half hours ,neutral
 ClaytonTLamb Theyre also found further north in Canada than any other amphibian well into Yukon and NWT,neutral
 SecondNatureMB ClaytonTLamb Right to the MacKenzie Delta and Yukon north slope which blows my mind ,neutral
 So we was like Hans would be able to fix it Hans was the guy who I got engaged to So Krist,neutral
 But he ended up being evil He locked me in the room and was planning to kill Elsa But then Olaf,neutral
 AGhostFlipsUOff you gotta dump it on them all at once to reach fully bothered,neutral
 PaulvonMitchell superb scene ,curiosity
Then ship Jirou amp Momo bc it at least hinted at that our punk girl Jirou is attracted to Momo while,neutral
Could definately see that theres alot of strong possible ships like them D,neutral
 RacingPost Interesting Australia unsurprisingly not had many 2yr old winners at this stage but the,neutral
 rpbloodstock RacingPost Dear God Epic fail Confusing Camelot and Australia now Premature senility is a bad dose ,anger
 AyySix rpbloodstock RacingPost You guys nearly had me searching high and low to find those Haha,amusement
 rpbloodstock RacingPost Bit early to say just See how the 3yr olds get on ,neutral
 rpbloodstock RacingPost bust,anger
Be an interesting turn of events if they turn out to be winners,curiosity
 HorseStats,neutral
 RacingPost Big statement of intent,neutral
Thats good news,admiration
I can hear it now Izzy Pay attention Ill show you who can make some exquisite toast eh Sonny,neutral
Thats because youre a buffoon ,anger
I feel like thats nearly a compliment considering your opinion of humanity in general ,approval
 Grantham IC Is this being web casted ,curiosity
 Grantham IC No not that we were aware of,neutral
Yes ,neutral
Guess you want meatballs ,neutral
 Im going to have to buy those hand warmers you can put in gloves and wrap them around my knees M,neutral
Lol but you just never know whats out there ,amusement
So there ARE some advantages of being far from the sea and from places where one can see the Auror,neutral
Best Tip EVER It was my noobie mistake last year Was almost a disaster OhioTalksTurkey,admiration
Great to know OhioTalksTurkey,admiration
 OhioEggFarmers Yes I failed at this once OhioTalksTurkey,approval
 OhioEggFarmers Good idea you never want to wake up to a frozen gobbler OhioTalksTurkey,admiration
 OhioEggFarmers Absolutley OhioTalksTurkey,neutral
 OhioEggFarmers Very important OhioTalksTurkey,neutral
 OhioEggFarmers My aunt actually served a tan turkey because she didnt start defrosting until the d,neutral
How long does it take to thaw if you kept in in the fridge ,curiosity
Is slow roasting a turkey in a crock pot a great way to ensure a delicious bird OhioTalksTurkey,admiration
I just raked it all up scooped up the leaves et all wearing work gloves that promptly got hosed off,neutral
it should be noted that ideas I propose are often not practical solutions and should not be implemented by anybody p,neutral
obviously not the length of a Canadian winter but goes to show N I can have that kind of a thaw too ,neutral
I agree Frances Picked up a big pack from Costco for tonight ,approval
 Painlesscooking Its honey garlic ribs for me ,admiration
I Costco They always get in the nicest quality of cooking pans and dishes ,neutral
 JanChat56 Jan dont like the cold Dave ,neutral
 JanChat56 You sound like Mrs Happycabby Thats she who wears two dressing gowns even though the heating is on full pop ,neutral
 happycabby1 I was a lot happier this time last week in 28 degrees,neutral
over at Cressing Road for an important FA Trophy 1st Round Proper tie between braintreetownfc v Brackl,neutral
Sunday making the long journey to Edgar Street for the FA Trophy 1st Round Proper tie between Hereford v,neutral
 DCBeerBill Wachusett Wally won a blind NEIPA tasting hosted by MassBrewBros,neutral
But overall I hear you We went to Smuttynose couple weeks ago and were pleased that theyre trying,neutral
 DCBeerBill MassBrewBros Larry and Monster if fresh are also good but for the longest time t,admiration
 theBottleFarm DCBeerBill Wally was very well received but did not come out on top during that t,neutral
Temperatures soar ,neutral
and me Took me an extra hour to drive to work today Sheet ice early this am Yuck ,neutral
Stay safe on the roads out there Driving the parents to Tomatin tomorrow for their distillery tour ,neutral
Its melting a bit here but its getting cold again so more ice for tomorrow I reckon ,neutral
Same here No scraping the ice off the car this morning Almost tropical ,neutral
No but seriously though didnt even need my spikes when I got into town Its 99 gone already Still a bit dicey,neutral
Oh nice use of Gif ,admiration
Fingers crossed that the snow has gone so that we can play on Monday ,neutral
Its gonna be a while before this thaws ,neutral
Yeah The main bits are clearing quite fast tho ,neutral
 Chubb82 are you open today ,curiosity
 HelloStafford What is a spider mouse l have never heard the name ,curiosity
 HelloStafford Spider man mouse Great Pic,admiration
 HelloStafford Thank you,gratitude
 HelloStafford A normal mouse that climbs vertical up walls this was his prize at the en,neutral
Open on Thursday Or when will decision be taken ,neutral
Hurry up ,neutral
 dbates1950 Thank you Dave for the updates concerning the state of the pitch in the snow much appreciated from me ,gratitude
Im so far behind where I was this time last year ,curiosity
Still lots of time Maybe even something to be said for taking it easy for a while Im going for big De,neutral
 phila76 Weatherman17948 I dont think it will last 1 more cold shot early February before our ridge settles in for good,admiration
 JohnCoviello1 Weatherman17948 look at least year No real storms or winter Its pretty much over before it started this year,approval
Just turned the heating off warm tonight What a difference ,neutral
Lots of Spring in Cheshire daffodils tree buds opening butterflie,neutral
Another Grey Christmas then ,neutral
Indeed the million question Suppression or stormy Feels like we should be able to get some storminess out of it ,neutral
 jcolman22 Boy taking the European weeklies as gospel come on guys your better than that,neutral
 Sue Charles No you said Kate Humbles parents lived in Llandod I know about Sues parents her dad,neutral
 Sue Charles She was on bbc the othee r night looking at wild parts of wales I said I saw her filming up the Elan Valley ,neutral
 TCHeadCheese Davey could talk about each of the 13 time World Championships ,neutral
Would love to hear your take on James Harrisons addition to NEPatriots Is he a trojan horse for steelers ,love
Its nice to be on the other end of the postseason talk Dave I can hear the packer trying to bring do,admiration
 TCHeadCheese Why would Steelers need a Trojan horse They beat the Patriots last time they played ,neutral
I would make that trade with Wiggins and Jordan for sure Wolves need defense Jimmy Taj Tyus and,approval
MJ isnt happy that I wont let him go outside and play,joy
and when you get the fire arrows like whats the fucking point of backtracking to the town when youre already 3 4th,anger
then you fucking do the super bomb test which you need to do anyways if you wanna get the gilded sword which is a,anger
Thank you for tuning in and watching tonight Have a happy new year See you soon if I make it back from the big th,gratitude
Lol awww ,amusement
You will ,neutral
Lol ,amusement
 get warm ,neutral
Warmer coat next time ,neutral
Ummmmm we can relate frozenAF slpngjenbelle conyoqueric,neutral
Happy New Year to you Go get warm amp thaw out ,joy
You rocked it girl ,neutral
 You were a real trooper You didnt miss a step HAPPY NEW YEAR ,joy
you look good here spraytan ,admiration
So great ,admiration
Happy New Year to you and DonnieWahlberg Loved the show tonight Go home and keep each other warm ,joy
You did amazing ,admiration
Happy New Year ,joy
Happy New Year Jenny As always you looked beautiful even if you were half frozen ,admiration
Stay warm out there,neutral
 JennyMcCarthy,neutral
 JennyMcCarthy,neutral
Im sure hubby DonnieWahlberg can warm you up Have a great night guys ,admiration
Were worried about you,curiosity
 get warm,neutral
You looked gorgeous Hope you have a toasty New Years Day ,optimism
Lhh thats why we love you so much Jenny You are amazing You and Donnie are such an awesome and won,admiration
Happy 2018 Jenny amp DonnieWahlberg Love To You Both ,joy
You Did Awesome Happy New Year Jenny ,joy
 thank you for showing us a good time at frozen Times Square while the rest of us were warm indoors ,gratitude
Lmao,amusement
 DonnieWahlberg said he was trying to keep the Mrs warm tell him to turn up the heat stay warm you two ,neutral
You are brave Hope you get nice and warmed up Happy New Year ,optimism
So sweet to see Evan plug his YouTube channel My son went to follow and watched it climb almost 10,neutral
You did a terrific job Jenny Nice thing you did with the BOYS so they could have their shout outs ,admiration
Oh boohoo its 41 degrees Celsius here ,neutral
Happy new year Jenny Awww,joy
Aww hope your warm by no,optimism
Happy New Year and I hope 2018 is great for us all Thank you for braving the weather for our enjoyment ,optimism
great job We watched while working in the ER in Oklahoma Go warm up and get some sleep,admiration
So just saying I think that you guys did an amazing job Dick Clark would be proud of you all,admiration
Happy new year it was awesom,joy
 HappyNewYear Jenny Sending Stay toasty warm You are one brave lady to be out in that cold Lo,curiosity
Great seeing you tonight Happy New year ,joy
Goof So I guess this will end up as one of your annual sickness times Btw U were great I felt ur freezing pain ,admiration
And I thought it was freezing here in Florida Brrrrrr Ha ha ha Happy New Year Beautiful Get to thawing Xoxo,admiration
Happy New Year BHLove,joy
You did a great job tonight Happy New Year again ,admiration
So I would mean Happy looks different A Happy new Year 2018 ,joy
 JennyMcCarthy,neutral
you looked rather cold LoL you celebrated my birthday well,amusement
 JennyMcCarthy,neutral
 JennyMcCarthy,neutral
when u thawed out get some thing warm to cuddle up to apart from donnie lol warm hot drink,amusement
 JennyMcCarthy Hey sis you ready for it ,neutral
You looked amazing Happy New Year ,joy
 HappyNewYear Jenny Xo,neutral
 JennyMcCarthy Happy New Year sis ,joy
Try and stay warm HappyNewYear2018,neutral
Jenny I had a lot of fun at NavyPier tonight Im sorry I couldnt watch RockinEve due to no tel,remorse
 JennyMcCarthy She looked amazing but I felt hot under the collar from all the negative feedback she wa,admiration
 JennyMcCarthy Yeah you thought that was sweet indeed ,neutral
To Funny I know its cold there thats why I am in Vegas ,amusement
You were amazing as always I told my husband that you have always been the best party host mtvthrowback ,admiration
 JennyMcCarthy YouTube Oh really Me and my mother saw his film The Cookie Hero and we were a li,neutral
 JennyMcCarthy Excuse me She was defending the name of Dick Clark Productions FYI She doesnt want the,neutral
Happy New Year JennyMcCarthy,joy
God bless you for entertaining us while you froze tote arse off Heres to a fantastic 2018 bless yo,curiosity
Lol was worried you would be so cold and was sad my tv and WiFi froze less than 2 minutes til the en,amusement
 HappyNewYear Jenny love you ,love
 karencass JennyMcCarthy Im saying what is up with that crap The woman stands out there as does her hu,neutral
Happy New Year Feliz a o from Spain ,joy
Is that a real dead person laying there ,neutral
HAPPY New Year to you and the family,joy
You all were so amazing loved watching you guys as always My heart goes out to ALL of you guys in t,admiration
Your my celebrity free pass ,neutral
Happy new year jenny ,joy
Itll be a happy new year if no children die from the preventable diseases youve helped bring back,joy
I m sure u thawed out by now ,confusion
You did such a great job Happy New Year Loved what your husband said at the end about Dick Clark,admiration
Your left ear must be frost bitten Happy New Year To you and Donnie Danny Reagan ,joy
Happy New Year to you DonnieWahlberg and your family,joy
Happy New Year ,joy
 Hope youve warmed up now ,optimism
I felt so bad for you last night you looked soooo cold DonnieWahlberg looked like he was trying,love
You did amazing despite the frigid temps Great job again bittercold happynewyear 2018,admiration
Happy New year,joy
Your face was noticeable frozen Military grade bio toxins are ok for injection into the body but no,neutral
Two words Hazard Pay ,neutral
Bahahahaha Happy New Year ,joy
Girl i have no idea hlw you did it Me and my son were there in layers of clothes and face masks Co,neutral
Stinks you couldnt keep the purple jacket on all night Hey at least it was a lityle warmer than i,neutral
You were great And Happy New Year cant wait to listen to your show soon ,joy
You crack me up ,neutral
Your face OMG,amusement
You did a great job as usual I felt the frostbite through the screen,admiration
Thank you so much for hosting Happy New Year,gratitude
What a trooper A true McCarthy Happy New Year ,joy
Lololol,joy
lol,amusement
When are you flying back to STC ,neutral
I bet DonnieWahlberg could warm you up ,neutral
You were a trooper Enjoyed seeing you and the rest of the family on there last night Those shout outs were cool ,joy
Thanks Jenny for another great NewYearsRockinEve ,admiration
Poor Jenny You did great Happy New Year DonnieWahlberg trying to warm you up was so cute ,admiration
 JennyMcCarthy,neutral
My 9 year old son thought you were so funny He liked when they showed your dummy decoy then caught,amusement
Try not to give anyone a communicable disease thats easily prevented by vaccines Sad to see you ha,sadness
Happy New Year Jenny ,joy
You were terrific and looked great ,admiration
Id be ok if you skipped next year ,curiosity
HAPPY NEW YEAR JENNY,joy
Loved the fall,love
Oh my goodness you are funny ,amusement
I got to watched it even though I have been sick,approval
Hope youre toasty warm now you were a trooper keeping the smiles going in the Arctic weather HappyNewYear,optimism
Your the only reason that I watch every year and it comes with bonus footage of DonnieWahlberg Lo,neutral
You did great last night I dont know if I could stand out there in the cold as long as you did ,admiration
It was awesome I loved watching it ,admiration
Thank you for braving the cold you did amazing last night ,gratitude
I wanted to give you a big hug a huge cup of hot cocoa At one point you were visibly shaking so bad,approval
You rocked it So cool to see Evan there too TY for all yo continue to do via GR warriormom,admiration
Love your spirit Jenny Its always a pleasure watching you and Ryan host You are both beautiful o,admiration
 JennyMcCarthy Probably because they thought she was Joan Rivers Joan was always a great hostess,admiration
 JennyMcCarthy Probably because you guys have nerves in your face while hers is frozen with Botox so she felt nothing,neutral
It was fun watching all the photos and clips from over there while we are scorching in the blazing S,amusement
 JennyMcCarthy DonnieWahlberg probably would have something to say about that ,neutral
Oh my God LMAO ,amusement
Great post Hope u thawed ok I know its soo cold up in there ,optimism
Did you ever get indoors with Ryan on NYE wait or were you pissed about not getting tea Im so confused,curiosity
Wed love to feature this on our platforms When and where did you take this To give us permission res,love
 vickorano The hug ening began long ag,neutral
 vickorano Damn thats one way to fight the ice demons,admiration
 vickorano,admiration
 celestialwitch6 HOLY SHIT WHERE DO YOU LIVE THE ARCTIC,curiosity
 DaJibbly Boy aint no way Tennessee is so cold you need a small rocket engine Thats probably toasty af tho damn,neutral
 vickorano Again garage real breezy and when the breeze outside is cold ,admiration
 vickorano Because you only thought that only the bitter cold to keep me warm at night line was,neutral
 vickorano Seriously tho I need to get my house finish because my Charleston Chew is freezing ,admiration
 vickorano I can only imagine being in a cold garage with nothing but a rocket engine to keep everything alive,neutral
I thaw you this morning Look nice in blue ,admiration
 vickorano Got up this morning you know I kick on the big heater if only to thaw out my Charlest,neutral
 celestialwitch6 You and your chew,neutral
 celestialwitch6 Meh I was at the phramacy for antibiotics for my tooth and they had a 4 for 4 deal HOW COULD I SAY NO ,neutral
We have a heat wave coming ,neutral
 greta You sound as tho you have a good understanding of how this all doesnt works If only more people saw it this way,admiration
 MikeHamernik CherylScottWX Ginger Zee that absolutely gorgeous feel better soon ,admiration
Thanks Been sick since NYE so Im mostly revered More cabin fever at this point ,gratitude
 MikeHamernik CherylScottWX Ginger Zee Chicago beautiful jillianmele HeatherChilders,admiration
Thanks ,gratitude
 MikeHamernik CherylScottWX Ginger Zee Beautiful shot Thanks for leaving your sick bed for this ,gratitude
 MikeHamernik CherylScottWX Ginger Zee Youre a braver man than I oh wait Im a sensible female so,sadness
 MikeHamernik CherylScottWX Ginger Zee Nice photo ,admiration
Was getting cabin fever after 6 straight days in The cold is invigorating,neutral
 pgh2o Also encourage those around you to apply pgh2o needs more quality candidates from CityPGH OurH2O,neutral
Thankfully we dont have to watch the Bears anymore ,neutral
Happy Monday Sarge,joy
Thawed here Its raining Id rather have the snow Maybe youre pipes will unfreeze ,curiosity
Not soon enough ,neutral
Ice here this morning then big warm up Yay Stay warm Sargie and we hope the pipes thaw fast ,optimism
Theres going to be a big ice first so be careful,neutral
Oh no Ugh ,neutral
 scarboo Im going stir crazy ,joy
35 here and sunny Even warmer tomorrow and Wednesday Woo hoo ,neutral
Youre in Wisconsin right Very warm for WI ,admiration
I think so too ,neutral
Hi beautiful Have a great day I can see you have found your sub spot ,admiration
I think youre right Serg X,neutral
Dont get me started on that idiot And yes Poland central and western Europe going to get it ,neutral
 MikeHamernik CherylScottWX Ginger Zee Another amazing pic by Nick And when down with the flu glad,admiration
i could live without the big one though its annoying ,neutral
Our training got called off last night Just aswell the lads thought on there feet and organised 7s ,neutral
Only plus is competitive midweek games during the spring evenings However its hardly the time to :,neutral
Amen I mean Ive been waiting for months to walk about smelling like ICE BLAST,neutral
The fountain looks like it needs more than 1 day to thaw out lol,amusement
Hello handsome Sgt William I sure hope youre right enough of the frigid temperatures A big thaw is welcome by me ,optimism
Lol i know sun is bright now n feels good ,amusement
 news4buffalo What is a relief triangle ,curiosity
Nalina should do a report on it on the ice ,neutral
Good morning Shannon Yes there is a thaw going on Had to have the roof shoveled since water was f,admiration
Im excited for warmer weather My skin cant take this cold So dry ,approval
This made a world of difference last year ,amusement
 ToddSantos4 news4buffalo My best guess is a strategic cut in the ice to allow for smooth flow rather than ice jams ,neutral
Not for Chicago Heaviest snows east amp west of here,neutral
Yes Pups happy Did so much Im down today But so happy its done Whoohooo ,joy
I am so ashamed that Donald Trump is the President of the United States His vitriol his cruelty and his ignoranc,neutral
I join you in shame Honestly looking for the nearest rock to crawl under,neutral
 SophiaBush Open your eyes Im sure there is a rock big enough for you to crawl under not to far away What are you waiting for ,curiosity
 SophiaBush Actually up here in the Northeast they are hard to turn over due to the big freeze we had ,neutral
 SophiaBush Why do you need to turn a rock over to crawl under that seems pretty pointless but maybe that,curiosity
 SophiaBush Start looking harder because it cant take to long long to find one suitable enough especially,neutral
 SophiaBush Yet they still live here Apparently it cant be to horrible having him as your president beca,neutral
 SophiaBush But I would bet a shit ton of money that isnt the case Final thing you can crawl under as m,neutral
 SophiaBush Oh I am not ashamed of living in the America I know and love Just appalled by such bigoted,love
According some reading around male mosquitoes are generally smaller ,neutral
Cest officiel part les remarquer dans un redoux je ny connais rien aux moustiques ,approval
 The Day After tomorrow,neutral
Smart well done,admiration
Looks great,admiration
Good morning Sunset Beautiful day 19 is not nice Did you get your snowshoes Have a nice Hike,admiration
Yes they came today in the mail ,neutral
Golf content from an unlikely source Golf Digest ,neutral
Mind you beats sleeping in a car all night on a motorway in Scotland ,neutral
The Old Jocks are tough if that had happened down south it would have been classed as a full sc,neutral
Randi You look so beautiful Please please let it warm up ,admiration
When are you next out amp about in the snow ,neutral
Hopefully tomorrow about 1 30pm at Tinto Planning to skin up and ski down Forecast is decent Ho,optimism
All im seeing is the trend down at the end of next week Just in time for more snow for the weekend ,neutral
Needs to be warmer temps for big break up ,neutral
Ill take this abundant sunshine over snow and teen temps any day ,curiosity
Great photo Helen ,admiration
Thanks Fiona ,gratitude
 HelenMacKinven How lovely reminds of Laburnum Our thaw too quick for icicles today ,neutral
Thats fine but the roads are already freezing and no signs of gritter when I left the gym at Callander sq,neutral
Thank you all for you hard work I appreciate all that you do for us ,gratitude
 falkirkcouncil Saw gritters out on some routes today Thank you and the drivers for your efforts ,gratitude
Ice age ,neutral
Where exactly do you grit certainly not where I live In Bonnybridge You havent even bothered to fill the salt bins ,curiosity
Costa sel Ayr,admiration
About time ,neutral
Our snow family is going to be gone by morning ,neutral
Streets and pavements in paisley a mix of slush and ice today and theres been light rain on and off ,neutral
That the snow over for another year now,neutral
Son has just been out saving our roans from collapsing under the weight of the snow as it slides from,neutral
Snow had gone from Ayr by early afternoon ,neutral
 tapsaff,anger
Do you think we will see more snow over the next couple of months ,curiosity
Yaaaaaaaaaasssssssss,neutral
Biggest temperate increase in such a short time Ive ever seen on my station Sean Ill send it through ,neutral
Hip hip I can get back out without the fear of slipping and breaking a bone Osteoperosis,neutral
Brilliant was thinking of giving the grass its first cut ,neutral
Which will last till end of the year NoSummerInScotland,neutral
 ltluchristian IS RADIOCWALL Ponders14 JPollicott h polba TedmundCurtis chomper TC,curiosity
 IS RADIOCWALL pip mouse Ponders14 JPollicott h polba TedmundCurtis chomper TC TourGuideTed,curiosity
 ltluchristian IS RADIOCWALL Ponders14 JPollicott h polba TedmundCurtis chomper TC TourGuideTed M,curiosity
 robsonandcowan IS RADIOCWALL Ponders14 JPollicott h polba TedmundCurtis chomper TC TourGuideTed,admiration
 IS RADIOCWALL pip mouse Ponders14 JPollicott h polba TedmundCurtis chomper TC TourGuideTed A,curiosity
 ltluchristian IS RADIOCWALL pip mouse Ponders14 h polba TedmundCurtis chomper TC,curiosity
 robsonandcowan ltluchristian IS RADIOCWALL Ponders14 h polba TedmundCurtis chomper TC,admiration
 ltluchristian IS RADIOCWALL pip mouse Ponders14 h polba TedmundCurtis chomper TC TourGuideTed T,neutral
 ltluchristian IS RADIOCWALL pip mouse Ponders14 JPollicott TedmundCurtis chomper TC,neutral
 robsonandcowan ltluchristian IS RADIOCWALL Ponders14 JPollicott TedmundCurtis chomper TC,neutral
 robsonandcowan ltluchristian IS RADIOCWALL JPollicott h polba TedmundCurtis chomper TC,admiration
Morning R amp C Glad to see the snow going ,joy
 ltluchristian IS RADIOCWALL pip mouse Ponders14 JPollicott TedmundCurtis chomper TC TourGuideTed I,annoyance
 Wevlove the snow up north and its good for business ,admiration
Can we get some southern stream interaction this time ,neutral
 ScotsMagazine SwanstonFarm VisitScotland edinburgh Stunning shot,admiration
 weathernetwork StormhunterTWN Bit of a trickle,neutral
Thank you ,gratitude
Auditioning for a slot doing the weather ,neutral
 K Park1 Bit of snow never stopped em in your day mat,neutral
 NASAAmes NASAPsyche Chilly Is the target frozen to simulate the asteroids temperature ,neutral
 NASAAmes NASAPsyche Some of the experiments are run at Psyche like temperatures and some warmer We,neutral
 NASAAmes NASAPsyche I totes thought the 3rd image was a fancy cake Looks tasty ,admiration
 commoncentsmom OlderMommyStill Were on a flood watch now from all the rain amp runoff that theyre ex,neutral
 CanGeo Aaron great to see permafrost featured in CG esp as so much of Canada is underlain by it un:,admiration
 aaronkylie Thanks for pointing that out we have updated the text ,gratitude
 natmos,neutral
 JaryMulie Sweet I was in Kingston when I was 16 I have a relative that lives there I think she works in the prison ,neutral
 JaryMulie Didnt even know there was a prison here Will try to stay out of trouble so I dont ha,approval
 p morwood Great planning I usually keep 10 15 litres stored so I should be ok but Im in Dublin so the,admiration
 p morwood There was a strong German tradition on my moms side of the family that was never openly di,neutral
I was wondering that Its all got to go somewhere ,neutral
For realz Im actually bored in crypto Crazy ,neutral
The MTL daily chart looks great rn thing of picking up a small bag,admiration
We all are ,neutral
I was thinking that too as I noticed the drain in our street has actually frozen over and is covered,approval
Glad Im not the only one with those feels ,joy
 AltDisneyy,neutral
Dont wirry next couple months goibg to be epic,neutral
Flood warnings for todays high tide at 3pm,neutral
Looks like LBC might be waking ,neutral
Good stuff,admiration
Its being so cheerful as keeps me going ,approval
 AltDisneyy,neutral
 K69atie Climate change deniers BINGO,neutral
 AltDisney,neutral
Its red thats close enough ,neutral
 AltDisneyy,neutral
Stay warm and safe Kate,neutral
Well Im 57 and never experienced weather like this it puts 2010 in the shade so aye it is Not lo,neutral
Fact is were going to get even more extreme weather events like this with climate change Yet pe,approval
After the watershed then it must be for adults only ,neutral
 AdrianTroop Itll be an event BBC and ITV will be doing specials on The Great Thaw ,admiration
 timreid69 It will probably be repeated on Sky News as a Snow Special every 5 minutes till next Winter ,neutral
Shoutout to all our amazing emergency workers and council staff in Cardiff Have kept people safe and looked after the rough sleepers ,admiration
 MikeCrawshaw4 gremlin100 westcottpiemont stevie farm SionMaiden mad4farming Very kind Sharon I wi,admiration
My friends a paramedic in Cardiff and just told me last night was the worst shift hes ever done ,neutral
 Dayzie72 gremlin100 westcottpiemont stevie farm SionMaiden mad4farming Dickies insulated overall,neutral
 Dayzie72 gremlin100 westcottpiemont stevie farm SionMaiden mad4farming Something thoroughly mise,neutral
The conditions are really terrible Not going to be any better today either Rain forecast over the we,approval
 BBCLancashire GarethMalone Would have been n ce to have an apology of sombody for the cancellati,neutral
I know He said at one point he had to walk with the kit the best part of a mile because they c,neutral
 GarethMalone We have apologised Christine in all of our tweets and in our direct messages to you on Fa,neutral
He deserves one Absolute hero Tell him we really appreciate him ,admiration
 JulieOwenMoylan Heroes one amp all ,anger
 chefoverington Come on Ken,neutral
Ronan for some reason I cant copy Can u send to Meath Underage too ,neutral
The big thaws well under way in Scotland ,neutral
That man has never lifted a shovel full of anything apart from Cornflakes ,neutral
Were just starting Snow came at 2pm and wont stop until tomorrow ,neutral
Hi Lucy youre welcome were pleased to hear youve been able to rearrange your trip We look forw,gratitude
 EveningNews,neutral
Great work by International Rescue The thaw is well under way Still very cold though ,admiration
Thank goodness ,gratitude
Its been slowly thawing in Bradwell and Gorleston all day today,neutral
 Lowes Im ready for Spring My Blueberry shrubs are sneaking in delightful colors on the darkest o,neutral
It cant come soon enough ,neutral
Soggy bottoms ,admiration
The floods ,neutral
Yeah probably,neutral
How biblical,curiosity
I wonder its snowing near Wymondham right now ,approval
Have ordered an ark just in case mind TT ,neutral
Good thinking Ill be calling on you next week if this water gets too much Haha ,amusement
Haha we are hoping to run the scheduled service Sunday Thanks have a great weekend too K:,gratitude
Nods All that snow gonna leave a big soggy mess ,neutral
 LynnieYankee He could be right,neutral
Yeah the One Show are going to have one hour specials for the next 2 weeks,neutral
Fingers crossed The Big Thaw arrives quickly ,neutral
 SionMaiden westcottpiemont gremlin100 emmie cowie stevie farm mad4farming Just need something to bite into the ice,neutral
 MikeCrawshaw4 SionMaiden westcottpiemont gremlin100 stevie farm mad4farming Dread to think what the,neutral
 Dayzie72 SionMaiden westcottpiemont gremlin100 emmie cowie mad4farming This should do ,neutral
